Order_Conversion,QtyRequired_count,QtyRequired_mean,QtyRequired_median,QtyRequired_min,QtyRequired_max,AreaFt_count,AreaFt_mean,AreaFt_median,AreaFt_min,AreaFt_max
0,4651,1.81,1.0,1,158,4651,17.93,8.44,0.67,108.0
1,1169,2.62,1.0,1,200,1169,35.98,39.81,0.94,480.0
